Year,AreaBucket,incidents,area_total_ha,pct_area,pct_incidents
2015,Small (<100 ha),595,8659.72347801,5.114989857812685,72.82741738066095
2015,Medium (100–1k ha),190,70465.00874812,41.62116792673177,23.25581395348837
2015,Large (1k–10k ha),32,90176.16022399,53.26384221545554,3.9167686658506726
2015,Extreme (>10k ha),0,0.0,0.0,0.0
2016,Small (<100 ha),277,3773.07437531,1.7908558156743934,66.74698795180723
2016,Medium (100–1k ha),99,34461.48226868,16.356832598232298,23.85542168674699
2016,Large (1k–10k ha),37,100645.37853836,47.77042367773733,8.91566265060241
2016,Extreme (>10k ha),2,71805.6120452,34.08188790835599,0.48192771084337355
2017,Small (<100 ha),448,6565.48544006,2.2453092778662165,66.66666666666666
2017,Medium (100–1k ha),162,56835.04197077,19.436833454270744,24.107142857142858
2017,Large (1k–10k ha),57,115978.72023435,39.66319001917648,8.482142857142858
2017,Extreme (>10k ha),5,113029.7093204,38.65466724868655,0.744047619047619
2018,Small (<100 ha),286,5269.66735973,1.7433296488294854,58.13008130081301
2018,Medium (100–1k ha),147,54919.73129145,18.16873615169493,29.878048780487802
2018,Large (1k–10k ha),55,133263.05399637,44.08654612638393,11.178861788617885
2018,Extreme (>10k ha),4,108823.5605705,36.001388073091654,0.8130081300813009
2019,Small (<100 ha),312,4461.14060358,0.0767833496403431,57.564575645756456
2019,Medium (100–1k ha),64,23499.40589556,0.40446227984187466,11.808118081180812
2019,Large (1k–10k ha),77,357736.16871912,6.157210400343389,14.206642066420663
2019,Extreme (>10k ha),89,5424339.737315,93.3615439701744,16.420664206642066
